MARKST,traffic,14
UNITY,traffic,5
LAIR1,traffic,16
LAIR2A,traffic,16
LAIR2B,traffic,16
LBAG1,traffic,19
LBAG2,traffic,19
LBAG3,traffic,19
BLUF1A,traffic,10
BLUF2,traffic,10
SUN1,traffic,2
SUN1,traffic,2
SUN3A,traffic,2
SUN3B,traffic,2
SUN3C,traffic,2
SUN4,traffic,2
SUN1,,gang_2,30
SUN1,,gang_2,30
SUN3A,,gang_2,30
SUN3B,,gang_2,30
SUN3C,,gang_2,30
SUN4,,gang_2,30
COM1A,traffic,9
COM1B,traffic,9
COM2,traffic,9
COM3,traffic,9
COM4,traffic,9
PER1,traffic,9
CHC1A,traffic,6
CHC1B,traffic,6
CHC2A,traffic,6
CHC2B,traffic,6
CHC3,traffic,7
CHC4A,traffic,7
CHC4B,traffic,7
CHC1A,peds,9
CHC1B,peds,9
CHC2A,peds,9
CHC2B,peds,9
CHC3,peds,9
CHC4A,peds,9
CHC4B,peds,9
CHC1A,gang_2,40
CHC1B,gang_2,40
CHC2A,gang_2,40
CHC2B,gang_2,40
CHC3,gang_2,40
CHC4A,gang_2,40
CHC4B,gang_2,40
CHC1A,dealer,4
CHC1B,dealer,4
CHC2A,dealer,4
CHC2B,dealer,4
CHC3,dealer,4
CHC4A,dealer,4
CHC4B,dealer,4
CONF1A,traffic,0
CONF1B,traffic,0
THALL1,traffic,0
LDOC1A,traffic,11
LDOC1B,traffic,11
LDOC2,traffic,11
LDOC3A,traffic,11
LDOC3B,traffic,11
LDOC3C,traffic,11
LDOC4,traffic,11
LDT1A,traffic,0
LDT1B,traffic,0
LDT1C,traffic,0
LDT3,traffic,0
LDT4,traffic,5
LDT5,traffic,0
LDT6,traffic,0
LDT7,traffic,5
EBE1,traffic,5
EBE2A,traffic,5
EBE2B,traffic,5
EBE3C,traffic,8
EBE1,gang_2,30
EBE2A,gang_2,30
EBE2B,gang_2,30
EBE3C,gang_2,30
EBE1,dealer,2
EBE2A,dealer,2
EBE2B,dealer,2
EBE3C,dealer,2
ELCO1,traffic,6
ELCO2,traffic,7
ELCO1,peds,9
ELCO2,peds,9
ELCO1,gang_8,40
ELCO2,gang_8,40
GAN1,traffic,7
GAN2,traffic,7
GAN1,peds,1
GAN2,peds,1
GAN1,,gang_2,25
GAN2,,gang_2,25
GAN1disable_footcops1
GLN1,traffic,7
GLN2A,traffic,7
GLN1,gang_1,40
GLN2A,gang_1,40
GLN1,dealer,6
GLN2A,dealer,2
LIND1A,traffic,7
LIND1B,traffic,11
LIND2A,traffic,11
LIND2B,traffic,11
LIND3,traffic,11
LIND1A,gang_1,20
LIND1B,gang_1,20
LIND2A,gang_1,20
LIND2B,gang_1,20
LIND3,gang_1,20
IWD1,traffic,7
IWD2,traffic,7
IWD3A,traffic,7
IWD3B,traffic,7
IWD4,traffic,7
IWD5,traffic,7
IWD1,peds,1
IWD2,peds,1
IWD3A,peds,1
IWD3B,peds,1
