0,BUSINESS,0,0,0,80,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0
1,DESERT,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0
2,ENTERTAINMENT,5,5,0,15,40,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0
3,COUNTRYSIDE,0,0,0,0,0,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
4,RESIDENTIAL_RICH,5,0,0,15,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
5,RESIDENTIAL_AVERAGE,5,5,0,30,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
6,RESIDENTIAL_POOR,10,10,0,0,0,0,0,0,0,0,70,0,10,0,0,0,0,0,0,0,0
7,GANGLAND,20,10,0,0,0,0,0,0,0,0,60,0,10,0,0,0,0,0,0,0,0
8,BEACH,5,5,0,0,0,0,65,0,0,15,0,10,0,0,0,0,0,0,0,0,0
9,SHOPPING,0,0,0,30,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
10,PARK,5,5,0,0,0,0,0,60,0,0,30,0,0,0,0,0,0,0,0,0,0
11,INDUSTRY,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,ENTERTAINMENT_BUSY,0,0,0,10,0,0,0,0,40,25,0,0,0,0,0,0,25,0,0,0,0
13,SHOPPING_BUSY,0,0,0,30,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
14,SHOPPING_POSH,0,0,0,20,0,0,0,0,60,20,0,0,0,0,0,0,0,0,0,0,0
15,RESIDENTIAL_RICH_SECLUDED,0,0,0,0,0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0
16,AIRPORT,0,0,30,25,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
17,GOLF_CLUB,0,0,0,0,0,0,0,0,10,0,0,0,0,90,0,0,0,0,0,0,0
18,OUT_OF_TOWN_FACTORY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
19,AIRPORT_RUNWAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
20,RESTRICTED_AREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21,DEFAULT,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
